GRB,path,datatype,RA,DEC,Coord_Error,Instrument,idGRB,Author,z,T90 (s),class,logFa (erg/cm^2 s),logFaErr (erg/cm^2 s),logTa (s),logTaErr (s),Alpha,AlphaErr,beta,betaErr,ktotal,dk,logTarescaled (s),logTaErr (s).1,logLumTa (erg/s),logLumTaErr (erg/s)
060526A,mastersample/060526A_Kann.txt,kann,15h31m23s,  +00° 15',3',Swift,60526,Kann[80],3.21,298.16,XRR,-12.2,0.01,4.19,0.01,1.12,0.01,0.65,0.06,0.604646115,0.052149372,3.565717904,0.01,46.54045175,0.038768818
070612A,mastersample/070612A_Kann.txt,kann,08h05m32s,  +37° 16',3',Swift,070612A,Kann[169],0.671,365.2,L,-12.376,0.35375,5.2145,0.14528,2.69428,0.53173,0.6,0.189542021,0.814346849,0.079248238,4.99152355,0.14528,44.8265686,0.356265713
050502A,mastersample/050502A_Kann.txt,kann,13h29m46s, +42° 40',3',INTEGRAL,050502A,GCN[63],3.79,20.0,L,-12.6,0.04,3.72,0.03,1.43,0.02,0.76,0.16,0.686624786,0.172098977,3.039664487,0.03,46.36800037,0.115970359
050802A,mastersample/050802A_Kann.txt,kann,14h37m09s,  +27° 48',4',Swift,50802,Kann[68],1.71,30.0,L,-11.61,0.08,2.91,0.09,0.91,0.01,0.36,0.26,0.528323166,0.136944875,2.477030709,0.09,46.40668985,0.138103073
140423A,mastersample/140423A_converted_flux_accepted_ext_corr.txt,GCN,13h09m10s,+49° 49',3,Swift,140423A,GCN[15],3.26,134.0,L,-12.77456061,0.051904755,4.184892114,0.057199192,1.024631477,0.027846273,1.0,0.0835,1.0,0.121013975,3.555482515,0.057199192,46.2004848,0.073866131
020124A,mastersample/020124_converted_flux_accepted_ext_corr.txt,GCN,09h33m08s,-11° 35',19',HETE,20124,GCN[1],3.198,45.91,L,-12.77472256,0.054929545,4.454183614,0.065307118,1.96157201,0.072087664,1.36,0.23,1.676082055,0.553039852,3.83114118,0.065307118,46.40462133,0.153466857
100814A,mastersample/100814A_Kann.txt,kann,01h29m55s,-17° 59',3,Swift,100814A,Kann[173],1.439,174.5,L,-12.9168,0.0267,5.59489,0.013105,2.25952,0.052845,0.41063,0.04311,0.591274271,0.022726433,5.2076782,0.013105,44.96399631,0.031488669
050408A,mastersample/050408A_Si.txt,si,12h01m55s, +10° 52',2.5',HETE,50408,Si[61],1.24,34.0,L,-13.25,0.03,4.36,0.05,0.83,0.05,0.28,0.33,0.559527488,0.148910987,4.009751982,0.05,44.44698795,0.119411738
060927A,mastersample/060927A_Kann.txt,kann,21h58m13s,  +05° 21',3',Swift,60927,Kann[86],5.46,22.54,XRR,-12.19,0.26,3.24,0.23,1.26,0.06,0.82,0.147092192,0.714756555,0.196143141,2.429767482,0.23,47.16934008,0.286013295
170607A,mastersample/170607A_converted_flux_accepted_ext_corr.txt,GCN,00h29m22s,+09° 14',3,Swift,170607A,GCN[32],0.557,23.0,L,-11.90836051,0.023498935,4.186609144,0.035486555,0.979570761,0.024255934,0.9,0.0682,0.956689789,0.028888485,3.994320531,0.035486555,45.16770156,0.026910577
190627A,mastersample/190627A_converted_flux_accepted_ext_corr.txt,GCN,16h19m19s ,-05° 18',3,Swift,190627A,GCN[39],1.942,1.6,S,-12.10244638,0.05330265,4.730085948,0.047221072,1.621722725,0.050316798,1.0,0.135,1.0,0.145677099,4.26144328,0.047221072,46.32703797,0.082727598
090102A,mastersample/090102A_Kann.txt,kann,08h33m02s,+33° 05',3,Swift,90102,Kann[117],1.55,27.04,L,-12.25,0.11,3.3,0.1,1.14,0.02,0.74,0.22,0.783970197,0.161451245,2.89345982,0.1,45.83297224,0.141772021
110213A,mastersample/110213A_Kann.txt,kann,02h52m01s,+49° 17',3,Swift,110213A,Liang[174],1.4607,48.0,L,-11.5304,0.0418,4.36285,0.03889,1.91037,0.065815,0.9,0.06,0.913890437,0.049374532,3.971791331,0.03889,46.55555735,0.047935131
191011A,mastersample/191011A_converted_flux_accepted_ext_corr.txt,GCN,02h58m54s,-27° 51',3,Swift,191011A,GCN[40],1.722,7.37,L,-12.81844862,0.089478465,3.303409268,0.236045417,0.811693499,0.140267147,0.9,0.155,0.904713744,0.140422312,2.868521147,0.236045417,45.43932508,0.112027622
161023A,mastersample/161023A_Kann.txt,kann,20h44m08s,-47° 40',2.6,INTEGRAL,161023A,Kann[150],2.71,44.0,L,-11.91,0.05,4.55,0.04,1.36,0.02,0.66,0.08,0.640343301,0.067160838,3.98062609,0.04,46.67827374,0.067637228
090313A,mastersample/090313A_Zaninoni.txt,zaninoni,13h13m35s,+08° 06',3,Swift,90313,Zaninoni[118],3.38,78.32,XRR,-11.11,0.34,3.23,0.32,1.01,0.03,1.04,0.02,1.060862174,0.031338902,2.588525889,0.32,47.92829995,0.340241966
170604A,mastersample/170604A_converted_flux_accepted_ext_corr.txt,GCN,22h50m35s,-15° 25',3,Swift,170604A,GCN[31],1.329,26.7,L-XRF,-12.22060121,0.232991325,3.774652541,0.434719251,0.647615644,0.061559323,0.8,0.0758,0.84443476,0.05411499,3.407483052,0.434719251,45.72960481,0.234647708
181010A,mastersample/181010A_converted_flux_accepted_ext_corr.txt,GCN,03h30m14s,-23° 02',3,Swift,181010A,GCN[37],1.39,16.4,L,-12.86049016,0.275234365,3.177303206,0.192056955,1.360927924,0.079633976,0.9,0.08725,0.916558543,0.069677098,2.798905305,0.192056955,45.17349779,0.277207432
100906A,mastersample/100906A_Liang.txt,liang,01h54m50s,+55° 37',3,Swift,100906A,Li[133],1.73,114.34,XRR,-10.15,0.12,2.41,0.08,1.14,0.02,0.79,0.03,0.809852345,0.02440008,1.973837353,0.08,48.0646202,0.120711284
050525A,mastersample/050525A_Kann.txt,kann,18h32m35s, +26° 20',4',Swift,050525A,Kann[64],0.61,8.83,SN-B-XRR,-11.6972,0.0658,3.22416,0.10234,1.03423,0.034343,0.52,0.08,0.795652771,0.030313364,3.017334124,0.10234,45.39446415,0.067848452
180115A,mastersample/180115A_converted_flux_accepted_ext_corr.txt,GCN,00h48m18s,-15° 36',3,Swift,180115A,GCN[34],2.487,40.9,L,-11.42317255,0.387393095,2.942938007,0.301581257,1.018253972,0.059281211,0.9,0.0959,0.88258147,0.105718349,2.40048606,0.301581257,47.21410646,0.390870323
160227A,mastersample/160227A_converted_flux_accepted_ext_corr.txt,GCN,12h59m09s,+78° 38',3,Swift,160227A,,2.38,316.5,L,-12.57792608,0.508355475,3.999011064,0.579293143,1.090413855,0.340707363,0.7,0.0732,0.693944903,0.061864148,3.470094364,0.579293143,45.90852811,0.509827689
060605A,mastersample/060605A_Zaninoni.txt,zaninoni,21h28m35s,  -06° 04',3',Swift,60605,Zaninoni[81],3.78,114.79,XRR,-11.16,0.04,3.03,0.05,1.04,0.04,1.32,0.03,1.649745403,0.077427858,2.350572103,0.05,48.18596751,0.044893875
030429A,mastersample/030429A_Liang.txt,liang,12h13m07s,-20° 54,1.5'',HETE,30429,Liang[154],2.658,10.3,XRF,-14.0764,0.8207,5.45886,0.28446,3.03421,1.50176,0.22,0.24,0.363638546,0.113186124,4.895616299,0.28446,44.24577888,0.831758206
090618A,mastersample/090618A_Kann.txt,kann,19h36m05s,+78° 21',3,Swift,90618,Kann[122],0.54,113.21,XRR-SN-C,-11.84,0.01,4.07,0.01,1.04,0.0,0.71,0.02,0.882305509,0.00761928,3.882479279,0.01,45.16841239,0.01068015
030226A,mastersample/030226A_Kann.txt,kann,11h33m05s,+25° 54',2',HETE,30226,Kann[55],1.99,22.09,L,-12.44,0.04,3.24,0.04,1.33,0.05,0.57,0.12,0.624397836,0.08206636,2.764328812,0.04,45.81092203,0.069700705
161014A,mastersample/161014A_converted_flux_accepted_ext_corr.txt,GCN,22h10m31s,+07° 29',3,Swift,161014A,GCN[27],2.823,18.3,L,-12.68121537,0.140665095,3.993669477,0.162302518,1.360775607,0.140233968,0.8,0.105,0.764749392,0.107683385,3.411265179,0.162302518,46.02701791,0.153382826
120815A,mastersample/120815A_Si.txt,si,18h15m40s,-52° 08',3,Swift,120815A,Si[142],2.36,9.7,L,-12.08,0.04,2.94,0.05,0.64,0.01,0.78,0.01,0.76595871,0.009282967,2.413660723,0.05,46.44042168,0.040344805
051111A,mastersample/051111A_Si.txt,si,23h12m38s,  +18° 20',4',Swift,51111,Si[74],1.55,59.78,L,-10.91,0.03,2.77,0.04,1.0,0.04,0.76,0.07,0.798785838,0.052341668,2.36345982,0.04,47.18110305,0.041350297
130606A,mastersample/130606A_Kann.txt,kann,16h37m37s,+29° 47',3,Swift,130606A,Kann[145],5.91,276.58,XRR,-12.04,0.09,4.25,0.05,1.71,0.03,0.83,0.12,0.719927448,0.166991748,3.410521953,0.05,47.40270369,0.135085221
160314A,mastersample/160314A_converted_flux_accepted_ext_corr.txt,GCN,07h31m07s,+17° 00',3,Swift,160314A,GCN[24],0.726,8.73,L,-12.58653098,0.156278825,2.806841043,0.384008389,0.607458301,0.053103446,0.9,0.145,0.946882131,0.074938104,2.569800252,0.384008389,44.76521482,0.160013846
090726A,mastersample/090726A_Liang.txt,liang,16h35m16s,+72° 52',3,Swift,90726,Li[123],2.71,59.3,XRF,-12.22,0.1,3.37,0.1,1.11,0.21,1.29,0.147092192,1.46257597,0.282046883,2.80062609,0.1,46.72697931,0.130438257
050922C,mastersample/050922C_comb.txt,combined,21h09m34s,  -08° 46',4',Swift,050922C,"Kann, Zaninoni, Oates[72]",2.2,4.54,IS,-11.65,0.01,3.77,0.01,1.25,0.01,0.56,0.01,0.599423837,0.006972203,3.264850022,0.01,46.68968196,0.011203466
071112C,mastersample/071112C_Kann.txt,kann,02h36m53s,  +28° 23',3',Swift,071112C,Kann[100],0.82,15.0,SN-C,-11.73,0.01,2.56,0.02,0.92,0.0,0.44,0.11,0.715088877,0.047104345,2.299928612,0.02,45.62968504,0.030305267
060512A,mastersample/060512A_Kann.txt,kann,13h03m05s,  +41° 13',3',Swift,60512,Kann[79],0.44,8.49,XRF,-12.44,0.03,3.64,0.05,0.74,0.02,0.6,0.147092192,0.864281074,0.046356714,3.481637508,0.05,44.34642263,0.037981642
970508A,mastersample/970508A_Kann.txt,kann,06h53m28s,+79° 17.4',3',SAX/WFC,970508,Kann[151],0.83,13.2,XRF,-12.37,0.28,5.35,0.12,1.59,0.08,0.32,0.15,0.663030122,0.060101953,5.08754891,0.12,44.96981832,0.28275398
150323A,mastersample/150323A_converted_flux_accepted_ext_corr.txt,GCN,08h32m46s,+45° 26',3,Swift,150323A,,0.593,149.6,L,-13.07349914,0.05718795,3.67566044,0.124149945,0.561832732,0.056789811,1.1,0.21,1.047662931,0.102440478,3.473444664,0.124149945,44.10786493,0.071230362
100513A,mastersample/100513A_converted_flux_accepted_ext_corr.txt,GCN,11h18m19s,+03° 36',3,Swift,100513A,,4.772,84.0,L,-13.09028221,0.168576255,4.323621185,0.213690952,1.387361186,0.282342723,1.2,0.17,1.419924538,0.423156211,3.562294863,0.213690952,46.43000734,0.21252978
090927A,mastersample/090927A_Kann.txt,kann,22h55m49s,-70° 59',3,Swift,90927,Kann[124],1.37,2.16,SEE-IS,-12.96,0.07,4.31,0.11,1.12,0.11,0.41,0.16,0.601033219,0.082980084,3.935251654,0.11,44.87516704,0.092169246
160804A,mastersample/160804A_converted_flux_accepted_ext_corr.txt,GCN,14h46m33s,+10° 00',3,Swift,160804A,GCN[26],0.736,144.2,L,-12.97422997,0.06350356,4.721109717,0.077460918,1.018609295,0.087948755,0.9,0.12,0.946335273,0.062637964,4.481559996,0.077460918,44.39182724,0.069706762
061007A,mastersample/061007A_Kann.txt,kann,03h05m16s,  -50° 29',3',Swift,61007,Kann[88],1.26,75.31,L,-8.76,0.07,2.17,0.03,1.75,0.01,1.07,0.19,1.058735781,0.164018622,1.815891561,0.03,49.23114866,0.097091089
181201A,mastersample/181201A_converted_flux_accepted_ext_corr.txt,GCN,21h17m17s,-12° 38',3,INTEGRAL,181201A,GCN[38],0.45,19.2,L,-11.69553286,0.02647635,4.749371564,0.024123625,1.151212065,0.006098432,0.8,0.0562,0.928381333,0.01938634,4.588003562,0.024123625,45.145187,0.027986456
090423A,mastersample/090423A_Kann.txt,kann,09h55m35s,+18° 07',3,Swift,90423,Kann[119],8.23,9.77,XRR-IS,-13.39,0.08,4.7,0.09,1.12,0.1,0.45,0.13,0.294536461,0.085097379,3.734798299,0.09,45.99675558,0.14880955
170405A,mastersample/170405A_converted_flux_accepted_ext_corr.txt,GCN,14h39m14s,-25° 15',3,Swift,170405A,GCN[30],3.51,164.7,L,-12.75617785,0.259204335,4.195041244,0.180550776,1.640801939,0.148582399,0.8,0.09105,0.739885799,0.101474121,3.540864702,0.180550776,46.164809,0.265959793
071031A,mastersample/071031A_Kann.txt,kann,00h25m50s,  -58° 03',3',Swift,71031,Kann[99],2.69,180.89,XRF,-12.54637617,0.01235542,3.83313494,0.01667499,0.8254183,0.007667555,0.34,0.3,0.422437631,0.165463724,3.266108574,0.01667499,45.85346834,0.170556024
051028A,mastersample/051028A_Liang.txt,liang,01h48m39s,  +47° 49',19.5',HETE,51028,Liang[157],3.6,16.0,SN-B,-13.0714,0.2287,4.04085,0.246865,1.02823,0.1334,0.6,0.189542021,0.54312134,0.157098823,3.378092168,0.246865,45.74156324,0.260929473
080913A,mastersample/080913A_Kann.txt,kann,04h22m54s,  -25° 07',3',Swift,80913,Kann[110],6.73,7.89,IS,-14.51,0.14,5.54,0.15,1.07,0.21,1.16,0.17,1.387103026,0.482252038,4.651820506,0.15,45.34849125,0.205908075
060729A,mastersample/060729A_Zaninoni.txt,zaninoni,06h21m21s,  -62° 21',3',Swift,60729,Zaninoni[85],0.54,115.35,XRR-SN-E,-12.15,0.03,5.07,0.03,1.26,0.06,0.85,0.01,0.937285486,0.004047034,4.882479279,0.03,44.88466529,0.03005855
980326A,mastersample/980326_converted_flux_accepted_ext_corr.txt,GCN,08h36m26s,-18° 53.0',8',SAX/WFC,980326,GCN[49],1.0,5.0,L,-14.54067462,1.122123125,5.314621786,0.600428192,1.515176062,0.702622638,1.1,0.13,1.071773463,0.096576578,5.01359179,0.600428192,43.2074352,1.122805312
110731A,mastersample/110731A_Kann.txt,kann,18h42m05s,-28° 33',3,Swift,110731A,Kann[176],2.83,38.8,L,-10.0635,0.04685,2.66711,0.036115,1.40608,0.00926,0.66,0.189542021,0.633450111,0.161231619,2.083911226,0.036115,48.5655219,0.120058999
120923A,mastersample/120923A_Kann.txt,kann,20h15m11s,+06° 14',3,Swift,120923A,Kann[179],7.8,27.2,L,-14.618,0.24105,6.37724,0.155375,2.31157,0.54004,0.17,0.295,0.164467232,0.105514242,5.432757328,0.155375,44.46221259,0.368423042
081008A,mastersample/081008A_Kann.txt,kann,18h39m57s,-57° 28',3,Swift,81008,Kann[113],1.97,185.48,XRR,-11.22,0.01,3.51,0.01,1.29,0.01,0.38,0.23,0.509203056,0.127488787,3.037243551,0.01,46.93160788,0.109192853
050908A,mastersample/050908A_Zaninoni.txt,zaninoni,01h21m51s,  -12° 58',4',Swift,50908,Zaninoni[71],3.34,17.37,XRR,-12.61,0.08,3.26,0.13,0.82,0.08,1.25,0.36,1.443352578,0.762717681,2.62251027,0.13,46.54963918,0.243040229
140206A,mastersample/140206A_converted_flux_accepted_ext_corr.txt,GCN,09h41m24s,+66° 45',3,Swift,140206A,GCN[14],2.73,93.6,L,-10.87899093,0.019997825,2.792836593,0.061446651,0.782606216,0.017860622,0.8,0.0545,0.768525414,0.055137278,2.221127761,0.061446651,47.79624735,0.037023535
071010A,mastersample/071010A_Kann.txt,kann,19h12m24s,  -32° 23',3',Swift,071010A,Kann[97],0.99,6.2,L,-11.12,0.16,2.8,0.17,0.81,0.02,0.61,0.12,0.764622899,0.06313962,2.501146924,0.17,46.4706629,0.163969843
091127A,mastersample/091127A_Si.txt,si,02h26m17s,-18° 57',3,Swift,91127,Si[127],0.49,6.96,XRR-SN-B,-12.02,0.01,4.42,0.01,1.19,0.01,0.38,0.2,0.78095231,0.062285026,4.246813732,0.01,44.83397181,0.036051898
210210A,mastersample/210210A_converted_flux_accepted_ext_corr.txt,GCN,17h31m15s,+14° 39',3,Swift,210210A,GCN[48],0.715,6.6,L,-11.7476058,0.033075635,3.875592855,0.030219705,1.446570253,0.03161784,0.9,0.11,0.947487715,0.056219599,3.641328731,0.030219705,45.58817558,0.041929009
041006A,mastersample/041006A_Si.txt,si,00h54m53s, +01° 12',5',HETE,41006,Si[59],0.72,17.4,SN-C,-12.45,0.03,4.08,0.03,1.24,0.01,0.36,0.27,0.706743453,0.103486718,3.844471553,0.03,44.76588178,0.07031379
070419A,mastersample/070419A_Zaninoni.txt,zaninoni,12h10m51s,  +39° 54',3',Swift,070419A,Zaninoni[94],0.97,160.0,XRF-SN-D,-12.67,0.12,3.27,0.07,1.4,0.05,1.11,0.22,1.07743551,0.160718232,2.975533774,0.07,45.04769845,0.136370016
080319C,mastersample/080319C_Kann.txt,kann,17h15m54s,  +55° 25',3',Swift,080319C,Kann[102],1.95,33.94,L,-12.32,0.25,3.23,0.13,2.0,0.56,0.98,0.23,0.978596278,0.243489618,2.760177984,0.13,46.10446314,0.27235411
060210A,mastersample/060210A_Kann.txt,kann,03h50m55s,  +27° 02',3',Swift,60210,Kann[77],3.91,255.0,L,-11.7,0.14,3.05,0.08,1.49,0.05,0.76,0.147092192,0.682559384,0.159762561,2.358918508,0.08,47.29760784,0.17301234
201015A,mastersample/201015A_converted_flux_accepted_ext_corr.txt,GCN,23h37m22s  ,+53° 24',3,Swift,201015A,GCN[44],0.426,9.78,L,-12.87444057,0.09441961,4.275440697,0.22980341,0.481066589,0.027143694,1.1,0.4,1.036124523,0.147077181,4.121321171,0.22980341,43.95738803,0.112763094
050904A,mastersample/050904A_Liang.txt,liang,00h54m41s,  +14° 08',4',Swift,50904,Liang[156],6.295,181.57,UL,-14.2175,0.16435,5.58044,0.082535,2.45699,0.163855,1.0,0.09,1.0,0.178847026,4.717414704,0.082535,45.43163099,0.181779826
060206A,mastersample/060206A_Zaninoni.txt,zaninoni,13h31m47s,  +35° 04',3',Swift,60206,Zaninoni[76],4.05,7.59,XRR-IS,-12.01066625,0.004353385,4.29388057,0.00413359,1.25540156,-0.003759985,1.66,0.05,2.911872196,0.23577258,3.590589192,0.00413359,47.65323961,0.035433019
120119A,mastersample/120119A_Si.txt,si,08h00m07s,-09° 04',3,Swift,120119A,Si[139],3.1,253.8,L,-12.0,0.06,3.44,0.05,1.51,0.08,0.89,0.01,0.856236576,0.012081387,2.827216143,0.05,46.85519098,0.060312108
170714A,mastersample/170714A_converted_flux_accepted_ext_corr.txt,GCN,02h17m17s,+01° 59',3,Swift,170714A,GCN[33],0.793,1000.0,UL,-13.21717412,0.263786405,4.460402666,0.217775049,1.851865027,0.533548275,0.9,0.04985,0.943282921,0.027456066,4.206822376,0.217775049,44.22702152,0.264089117
140801A,mastersample/140801A_converted_flux_accepted_ext_corr.txt,GCN,03h01m00s,-30° 53',240,Fermi,140801A,GCN[16],1.32,7.0,L,-12.7941683,0.03623913,4.204885049,0.047598235,0.861959166,0.016398052,0.7,0.53,0.776879398,0.346511991,3.839397064,0.047598235,45.1125266,0.197069299
130420A,mastersample/130420A_converted_flux_accepted_ext_corr.txt,GCN,13h04m24s,+59° 25',3,Swift,130420A,GCN[13],1.297,123.5,L,-12.86884879,0.06637761,4.259018705,0.095952031,1.028031328,0.061396139,1.2,0.105,1.180951872,0.103118842,3.89785771,0.095952031,45.20084182,0.076446438
030329A,mastersample/030329A_Si.txt,si,10h44m50s,+21° 31',2',HETE,30329,Si[57],0.17,62.9,SN-A,-11.76,0.09,5.5,0.05,1.46,0.03,0.41,0.17,0.911528688,0.024329282,5.431814138,0.05,44.10350079,0.090743403
061126A,mastersample/061126A_Liang.txt,liang,05h46m30s,  +64° 11',3',Swift,61126,Liang[161],1.1588,191.0,L,-12.3053,0.08165,3.5801,0.101225,0.922285,0.025959,0.82,0.09,0.870646315,0.060300725,3.245887591,0.101225,45.51091488,0.087014227
121217A,mastersample/121217A_Liang.txt,liang,10h14m54s,-62° 18',3,Swift,121217A,Liang[180],3.1,778.0,L-VL,-12.2295,0.1152,3.47558,0.0991,0.775179,0.0285885,0.87,0.04,0.832411552,0.046980874,2.862796143,0.0991,46.6134353,0.117778803
120729A,mastersample/120729A_Kann.txt,kann,00h52m13s,+49° 56',3,Swift,120729A,Kann[141],0.8,93.8,SN-D-XRR,-12.03,0.03,3.81,0.02,2.13,0.05,0.89,0.12,0.93738937,0.066118197,3.554727495,0.02,45.42085949,0.042876128
130702A,mastersample/130702A_Kann.txt,kann,15h12m36s,+16° 35',412,Fermi,130702A,Kann[146],0.15,59.0,SN-A-XRF,-12.13,0.02,5.07,0.01,1.33,0.02,0.44,0.09,0.924717783,0.011631632,5.00930216,0.01,43.62031007,0.020732637
000926A,mastersample/000926A_Kann.txt,kann,17h04m15s,+51° 46',3'*10',Uly/Ko/NE,926,Kann[52],2.04,25.0,L,-12.89,0.03,5.12,0.02,2.14,0.04,1.01,0.16,1.011180616,0.179886203,4.637126416,0.02,45.59666676,0.082879868
080310A,mastersample/080310A_Zaninoni.txt,zaninoni,14h40m19s,  -00° 10',3',Swift,80310,Zaninoni[101],2.43,363.46,XRR,-11.7773,0.03995,3.53482,0.03563,1.13752,0.008815,0.97,0.04,0.963698485,0.047512658,2.99952588,0.03563,46.87371535,0.045326219
081109A,mastersample/081109A_Liang.txt,liang,22h03m09s,-54° 43',3,Swift,081109A,GCN[115],0.98,192.0,XRR,-12.0,0.07,3.19,0.13,0.95,0.05,0.79,0.03,0.866363825,0.017754312,2.89333481,0.13,45.63401672,0.070563512
070318A,mastersample/070318A_Liang.txt,liang,03h14m10s,  -42° 58',3',Swift,70318,Liang[162],0.836,74.6,L,-11.1627,0.0748,3.01049,0.10326,0.999465,0.1066565,0.78,0.189542021,0.874879038,0.100754309,2.746617323,0.10326,46.30523664,0.089980755
110503A,mastersample/110503A_converted_flux_accepted_ext_corr.txt,GCN,08h51m12s,+52° 13',3,Swift,110503A,,1.613,10.0,L,-12.98397308,0.066673905,4.715862159,0.060449994,1.398044726,0.139783874,0.9,0.0613,0.908418686,0.053486409,4.298722749,0.060449994,45.20564764,0.071409156
090529A,mastersample/090529A_Liang.txt,liang,14h09m54s,+24° 26',3,Swift,090529A,Li[121],2.63,68.81,XRR,-13.09,0.03,3.97,0.07,0.52,0.02,0.79,0.03,0.762815675,0.029503406,3.410093375,0.07,45.54279681,0.034382348
170113A,mastersample/170113A_converted_flux_accepted_ext_corr.txt,GCN,04h06m36s,-71° 55',3,Swift,170113A,GCN[29],1.968,20.66,L,-12.04193819,0.194559565,3.4333867,0.193310076,1.074913321,0.048051971,0.8,0.0697,0.804465124,0.060999225,2.960922803,0.193310076,46.30720533,0.197326779
120711A,mastersample/120711A_Liang.txt,liang,06h18m49s,-71° 01',3,Swift,120711A,Liang[178],1.405,115.0,L,-12.6826,0.3262,4.30148,0.170995,1.51971,0.22112,0.98,0.02,0.982602124,0.017245648,3.920364919,0.170995,45.3931265,0.326289043
080810A,mastersample/080810A_Kann.txt,kann,23h47m07s,  +00° 19',3',Swift,80810,Kann[109],3.35,108.81,L,-9.55,0.12,2.31,0.09,1.19,0.01,0.5,0.147092192,0.479463302,0.103684604,1.671510743,0.09,49.13413018,0.15238229
111107A,mastersample/111107A_converted_flux_accepted_ext_corr.txt,GCN,08h37m56s,-66° 30',3,Swift,111107A,GCN[10],2.893,26.6,L-XRF,-12.52587558,0.23814574,3.190432686,0.380189085,0.733879246,0.082265082,1.1,0.14,1.145587959,0.217988445,2.600148282,0.380189085,46.38352251,0.252076839
130215A,mastersample/130215A_Kann.txt,kann,02h53m55s,+13° 22',3,Swift,130215A,Kann[143],0.6,65.0,SN-B-XRR,-13.66,0.24,5.96,0.13,2.09,0.54,0.94,0.05,0.972193697,0.022846728,5.755880017,0.13,43.50126144,0.240216907
210204A,mastersample/210204A_converted_flux_accepted_ext_corr.txt,GCN,07h48m19s ,+11° 25',0.01,ZTF,210204A,GCN[47],0.876,200.0,L,-12.00734041,0.01721397,4.489640954,0.039841418,1.06782958,0.028803286,0.7,0.27,0.827999644,0.140650892,4.21640812,0.039841418,45.48670315,0.07575458
140907A,mastersample/140907A_converted_flux_accepted_ext_corr.txt,GCN,03h12m35s,+46° 36',3,Swift,140907A,GCN[17],1.21,79.2,L,-12.43108221,0.05253742,4.201712953,0.073580616,0.985033914,0.036082526,1.2,0.12,1.171867351,0.111513845,3.857320679,0.073580616,45.56064106,0.066843904
151029A,mastersample/151029A_converted_flux_accepted_ext_corr.txt,GCN,02h34m08s,-35° 22',3,Swift,151029A,,1.423,8.95,L,-12.37333449,0.202498381,3.139665555,0.309494935,0.844118148,0.164927475,1.5,0.39,1.556598856,0.537264006,2.755312141,0.309494935,45.91585257,0.251942363
