Date(2001 UT),Filter,Flux(Î¼Jy),Flux_err
.Oct 19..178.,g',.0..671.,.0..097.
.Sep 22..144.,r',.46..104.,.0..722.
.Sep 22..148.,r',.44..995.,.0..661.
.Sep 27..354.,r',.2..13.,.1..223.
.Oct 17..145.,r',.0..086.,.0..379.
.Oct 18..088.,r',.0..189.,.0..382.
.Oct 19..109.,r',.0..256.,.0..285.
.Oct 17..165.,i',.0..56.,.0..197.
.Oct 18..110.,i',.0..523.,.0..191.
.Oct 19..130.,i',.0..649.,.0..153.
.Oct 19..149.,z',.1..293.,.4..273.
.Sep 22..3038.,B,.11..319.,.0..981.
.Oct 19..253.,B,.0..623.,.0..675.
.Sep 22..2976.,V,.24..727.,.1..078.
.Oct 19..206.,V,.0..229.,.0..72.
.Sep 22..2930.,R,.39..116.,.5..072.
.Sep 22..3210.,R,.36..135.,.4..486.
.Oct 19..272.,R,.0..916.,.4..284.
.Nov 17..151.,R,.0..47.,.4..238.
.Sep 22..2893.,I,.84..688.,.5..778.
.Sep 22..795.,I,.40..277.,.3..95.
.Sep 22..825.,I,.47..281.,.7..23.
.Sep 22..878.,I,.50..926.,.3..671.
.Sep 22..954.,I,.41..321.,.3..636.
.Nov 17..093.,I,.1..229.,.1..057.
