time,mag,err,band,sys,telescope,source,gal_ext_corr
12741.37,18.7,0.09,R,,1.5m telescope of Mt.Maidanak High-altitude Observatory,gcn2775,no
16221.37,19.1,0.1,R,,1.5m telescope of Mt.Maidanak High-altitude Observatory,gcn2775,no
28226.89,19.7,0.3,Rc,,,gcn2777,no
29203.21,19.7,0.3,Rc,,,gcn2777,no
30335.05,19.8,0.3,Rc,,,gcn2777,no
31320.01,19.35,0.3,Ic,,,gcn2777,no
38888.65,19.95,0.3,Rc,,,gcn2777,no
3149.72199999993,17.1,0.4,R,,ROTSE-IIIa SSO  Australia ,gcn2776,no
5186.60200000002,18.1,0.4,R,,ROTSE-IIIa SSO  Australia , gcn2776,no
60733.37,19.1,0,I,,Morris Offit 20in Telescope,gcn2778,no
15951.37,19.2,0,R,,BAO 1.01-m reflector,gcn2779,no
49852.8,20.76,0.04,R,,Italian 3.6m telescope TNG,gcn2782,no
27689.37,20.1,0,B,,Lulin 1-m telescope,gcn2785,no 
28035.37,19.9,0,R,,Lulin 1-m telescope,gcn2785,no
35499.37,20.4,0.1,R ,,2.0m Liverpool Telescope,gcn2790,no
40683.3700000001,20.6,0.1,R,,2.0m Liverpool Telescope,gcn2790,no
22782.3076,19.81,0.05,Rc,,ARIES NainiTal,gcn2794,no
27467.3476,20,0.05,Rc,,ARIES NainiTal,gcn2794,no
30222.298,20.02,0.05,Rc,,ARIES NainiTal,gcn2794,no
31499.29,20.18,0.06,Rc,,ARIES NainiTal,gcn2794,no
25695.37,19.35,0,R,,AT-64 telescope of Crimean Astrophysical Observatory,gcn2798,no
115551.37,20,0,R,,AT-64 telescope of Crimean Astrophysical Observatory,gcn2798,no
99485.29,19.8,0,B,,SARA 0.9 m Telescope at KPNO,gcn2799,no
99485.29,19.5,0,R,,SARA 0.9 m Telescope at KPNO,gcn2799,no
99485.29,20.9,0.2,V,,SARA 0.9 m Telescope at KPNO,gcn2799,no
38880,20.5,0,R,,2.56m Nordic Optical Telescope using the=20 MOSCA instrument ,gcn2802,no
403920,23.6,0,R,,2.56m Nordic Optical Telescope using the=20 MOSCA instrument ,gcn2802,no
405855.37,23.59,0.06,R,,FORS1,gcn2803,no
305631.37,22.64,0,R,,TUG 1.5-m Russian-Turkish Telescope (RTT150),gcn2821,no
390303.37,23.3,0,R,,TUG 1.5-m Russian-Turkish Telescope (RTT150),gcn2821,no
731656.37,23.8,0.25,R,,ANDOR CCD(RTT150),gcn2821,no
1072736.37,24,0.2,R,,ANDOR CCD(RTT150),gcn2826,no
2383551.37,24.4,0.2,R,,VATT-6.5m Clay telescope of the Magellan Observatory,gcn2829,no
96568.57,19.3,0,Rc,,         0.9m SARA,gcn2830,no
98206.57,18.2,0,B,,         0.9m SARA,gcn2830,no
100611.37,19.3,0,Rc,,         0.6m MO(2),gcn2830,no
101244.97,21.2,0.6,V,,    0.9m SARA,gcn2830,no
108380.17,21.75,0.08,gâ€™,,  2.3m Bok,gcn2830,no
,22.17.5,,,,,,
